,BGGId,Name,ImagePath
80,88,Torres (1999),https://cf.geekdo-images.com/3pL0cEnaGn7Qwn6F2zvgcQ__original/img/rDW9TnDvR8kA5pSmSrs7fvc3PZ8=/0x0/filters:format(jpeg)/pic3371593.jpg
84,93,El Grande (1995),https://cf.geekdo-images.com/GO282hlXR3RiknU5W4GZjg__original/img/TCTXvYRQGWMAngXuHZcIXRknfpc=/0x0/filters:format(png)/pic5373572.png
85,94,Union Pacific (1999),https://cf.geekdo-images.com/69chi17STdg_NfBrM7UpHA__original/img/1iBmXk3GbNmPiTKI_sdv0rakqaI=/0x0/filters:format(jpeg)/pic226392.jpg
86,95,Igel Ärgern (1990),https://cf.geekdo-images.com/3_qW8pQo3PPY3q7Oze4LTA__original/img/P6m2cH4J7CfkCkvSkfrxU8qQ5cU=/0x0/filters:format(jpeg)/pic309356.jpg
88,97,Conquest of the Empire (1984),https://cf.geekdo-images.com/aSc7hgWRp5j9FiIVY3jzLA__original/img/0EIDCfmlc6Dk_0YELMtEzo7C6Ng=/0x0/filters:format(jpeg)/pic901704.jpg
89,98,Axis & Allies (1981),https://cf.geekdo-images.com/pWUe-w4DpXdcmH6GqbZqCw__original/img/-mqPeX0oe4pkmLxBNyRt3uGyyf0=/0x0/filters:format(jpeg)/pic24006.jpg
90,99,Fortress America (1986),https://cf.geekdo-images.com/a6SXt0FvxYqo1wbjyMrc-A__original/img/1bcMiQoTifkLEDP4-jNHnvPmL-Q=/0x0/filters:format(jpeg)/pic3884550.jpg
91,101,Detroit-Cleveland Grand Prix (1996),https://cf.geekdo-images.com/j3M3YejTD-N2p1aHTAcg2A__original/img/0eFvFeA40-uxwNolkBEaoldDn-s=/0x0/filters:format(jpeg)/pic70647.jpg
93,103,Titan (1980),https://cf.geekdo-images.com/MxQroqFDoQAV4s2oyYnyWQ__original/img/prIQozvI371DWiib_dN9WWqLcCk=/0x0/filters:format(jpeg)/pic1083237.jpg
95,105,Colossal Arena (1997),https://cf.geekdo-images.com/SsmaQGmmqdcBmyJDd041YQ__original/img/-qRLT0PI62LJweiUG_xzF8h3F_g=/0x0/filters:format(jpeg)/pic1680709.jpg
96,106,Mystery Rummy: Jack the Ripper (1998),https://cf.geekdo-images.com/lVc5ebKuO3kLu6a0m-cZuA__original/img/jwBmQ9Fc_tCeDCu9JG1tnwok-DI=/0x0/filters:format(jpeg)/pic592086.jpg
97,108,TAMSK (1998),https://cf.geekdo-images.com/_yr3yRZyjdViaUiGCcBgnA__original/img/fLMpO0MgpbC7An3qQPf0joFtUB0=/0x0/filters:format(jpeg)/pic54775.jpg
99,110,Auf Achse (1987),https://cf.geekdo-images.com/LhkDed_3m7mRa_mx7ntEnA__original/img/HoA5iSG3d7I_2-amd91GUX8u7GA=/0x0/filters:format(jpeg)/pic348799.jpg
100,111,Rheinländer (1999),https://cf.geekdo-images.com/XZOfL2SO5sF1gSu4FFdxSw__original/img/rB4ak30KN5Frambk4SnueaCmXrs=/0x0/filters:format(jpeg)/pic49307.jpg
101,112,Condottiere (1995),https://cf.geekdo-images.com/ez1nMA4g7Mx3BVBqZT9D2w__original/img/rBaGeeM-KPjZQXmTQ6roO7QTdWI=/0x0/filters:format(jpeg)/pic4211268.jpg
104,115,I'm the Boss! (1994),https://cf.geekdo-images.com/apSWtxrC9oG-rBSg0Gheag__original/img/4zCcHZDn_4rIy8rVIODW_vWRC5w=/0x0/filters:format(jpeg)/pic130807.jpg
105,116,Guillotine (1998),https://cf.geekdo-images.com/9gdaUHNTcgv8RhFhG0kzBw__original/img/uJQubpcCxCE4G1pmM8akyrLAVRY=/0x0/filters:format(jpeg)/pic143139.jpg
106,117,Ta Yü (1999),https://cf.geekdo-images.com/1QNduxQL2sAtlKOgyANiZw__original/img/naQYCzEa3AyVmVpI3VdvTAugoho=/0x0/filters:format(jpeg)/pic240949.jpg
107,118,Modern Art (1992),https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__original/img/s3Gai8XBTVfWFFlYpL4XF3kIlWU=/0x0/filters:format(png)/pic3458036.png
108,119,Kingdoms (1994),https://cf.geekdo-images.com/mnFrmXAtwpcpP-5BtlxdZw__original/img/_jR608AkeGxVJBlFG-SUzy4Mycs=/0x0/filters:format(png)/pic1097403.png
109,120,Hoity Toity (1990),https://cf.geekdo-images.com/hOby2j2vNp7CJSySwmczyA__original/img/DXeknF0pb8Bi3IzOE2A3-j384LI=/0x0/filters:format(jpeg)/pic38466.jpg
110,121,Dune (1979),https://cf.geekdo-images.com/BU8s0uY97Hle4mqUOj8f1g__original/img/GJp5GfzIdwzPgQDXxpBjCPRP_K8=/0x0/filters:format(jpeg)/pic279251.jpg
111,122,Quo Vadis? (1991),https://cf.geekdo-images.com/AyOfO7atmdQP23YZikTO3A__original/img/pjnoS2mrcfQsQ4AEN3nHhCtlp2I=/0x0/filters:format(jpeg)/pic3008003.jpg
112,124,Primordial Soup (1997),https://cf.geekdo-images.com/92He_gRx-E9sZLJwP6lsgA__original/img/qNhNoko5aTtSNK7T3A7XonECNN8=/0x0/filters:format(jpeg)/pic294731.jpg
113,125,Money! (1999),https://cf.geekdo-images.com/zhocaVrbBmHJ-QX4TtTVmw__original/img/gbZgPgrNLWYJtYimZR9H3EYeFDw=/0x0/filters:format(jpeg)/pic1664515.jpg
116,128,Take it Easy! (1983),https://cf.geekdo-images.com/4uhHaI4jH-S9SqQ3s9dIrw__original/img/E9x2aqIuUK-msNMWo5UA8Ae_xLo=/0x0/filters:format(jpeg)/pic3108440.jpg
117,130,Iron Dragon (1994),https://cf.geekdo-images.com/G4f3E6R7nrcpgtvAsYmazA__original/img/mX3kj1aYoRUx2rpjzcqTQ5xeCdM=/0x0/filters:format(jpeg)/pic3464926.jpg
118,132,Caesar & Cleopatra (1997),https://cf.geekdo-images.com/8G846GWW8F4EhYmN12CsRg__original/img/qbpdApB6mZHNQcvcnE_bFOI82Iw=/0x0/filters:format(jpeg)/pic344378.jpg
